archive,case_name,placement_method,seed,placements_member,board_id,method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,travel_mode_cost,hard_penalty,stability_penalty,safe_lift_count,detour_count
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_local_search_process_aware,all_edges,1,0.5,0.0,0.0,152.8069999999999,9,50,28,53,93.25832475822783,93.25832475822783,0.0,0.0,0,8
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology,all_edges,1,0.5,0.0,1.0,2.621875000000218,9,50,28,47,126.72406612663826,126.72406612663826,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_process_aware,all_edges,1,0.5,0.0,1.0,25.871707999999938,9,50,28,41,31.605551275463988,31.605551275463988,0.0,0.0,0,4
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_local_search_process_aware,all_edges,1,0.5,0.0,1.0,87.25516600000005,9,50,28,41,31.605551275463988,31.605551275463988,0.0,0.0,0,4
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology,all_edges,1,0.75,0.0,0.0,2.6609589999999628,9,50,28,47,126.72406612663826,126.72406612663826,0.0,14.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_process_aware,all_edges,1,0.75,0.0,0.0,20.765499999999992,9,50,28,49,89.98536943829724,89.98536943829724,0.0,3.0,0,5
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_local_search_process_aware,all_edges,1,0.75,0.0,0.0,161.311875,9,50,28,49,89.11698415570054,89.11698415570054,0.0,3.0,0,5
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology,all_edges,1,0.75,0.0,1.0,2.7887499999998955,9,50,28,47,126.72406612663826,126.72406612663826,0.0,2.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_process_aware,all_edges,1,0.75,0.0,1.0,51.57887499999991,9,50,28,58,66.23606797749977,66.23606797749977,0.0,0.0,0,20
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,262.35133300000024,9,50,28,44,58.23606797749979,58.23606797749979,0.0,0.0,0,5
